NL Sentence
"In frame 6 of sequence 'adl-01', the person is normal. The body height to width ratio is 6.32, major to minor axis ratio is 8.22, bounding box occupancy is 0.49, spread on XZ axes is 140.77, height-to-standing ratio is 0.96, body height is 1761.2 mm, distance from floor is 927.3 mm, and floor contact ratio is 0.0261."
"In frame 107 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.53, major to minor axis ratio is 2.31, bounding box occupancy is 0.43, spread on XZ axes is 152.85, height-to-standing ratio is 0.70, body height is 1280.4 mm, distance from floor is 697.5 mm, and floor contact ratio is 0.2504."
"In frame 108 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.49, major to minor axis ratio is 2.22, bounding box occupancy is 0.43, spread on XZ axes is 154.45, height-to-standing ratio is 0.68, body height is 1250.1 mm, distance from floor is 685.6 mm, and floor contact ratio is 0.2483."
"In frame 109 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.44, major to minor axis ratio is 2.15, bounding box occupancy is 0.44, spread on XZ axes is 154.57, height-to-standing ratio is 0.66, body height is 1217.3 mm, distance from floor is 671.5 mm, and floor contact ratio is 0.2492."
"In frame 110 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.45, major to minor axis ratio is 2.08, bounding box occupancy is 0.45, spread on XZ axes is 157.72, height-to-standing ratio is 0.65, body height is 1188.1 mm, distance from floor is 664.1 mm, and floor contact ratio is 0.2462."
"In frame 111 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.48, major to minor axis ratio is 2.06, bounding box occupancy is 0.48, spread on XZ axes is 152.87, height-to-standing ratio is 0.63, body height is 1163.7 mm, distance from floor is 645.5 mm, and floor contact ratio is 0.2497."
"In frame 112 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.36, major to minor axis ratio is 1.98, bounding box occupancy is 0.47, spread on XZ axes is 159.36, height-to-standing ratio is 0.63, body height is 1152.6 mm, distance from floor is 637.1 mm, and floor contact ratio is 0.2500."
"In frame 113 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.34, major to minor axis ratio is 1.93, bounding box occupancy is 0.47, spread on XZ axes is 159.01, height-to-standing ratio is 0.62, body height is 1140.3 mm, distance from floor is 621.5 mm, and floor contact ratio is 0.2536."
"In frame 114 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.33, major to minor axis ratio is 1.88, bounding box occupancy is 0.48, spread on XZ axes is 160.37, height-to-standing ratio is 0.61, body height is 1126.5 mm, distance from floor is 607.8 mm, and floor contact ratio is 0.2555."
"In frame 115 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.30, major to minor axis ratio is 1.83, bounding box occupancy is 0.49, spread on XZ axes is 160.10, height-to-standing ratio is 0.59, body height is 1091.4 mm, distance from floor is 589.6 mm, and floor contact ratio is 0.2601."
"In frame 116 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.23, major to minor axis ratio is 1.76, bounding box occupancy is 0.50, spread on XZ axes is 160.51, height-to-standing ratio is 0.57, body height is 1053.5 mm, distance from floor is 572.6 mm, and floor contact ratio is 0.2706."
"In frame 117 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.24, major to minor axis ratio is 1.71, bounding box occupancy is 0.52, spread on XZ axes is 162.69, height-to-standing ratio is 0.56, body height is 1037.4 mm, distance from floor is 558.4 mm, and floor contact ratio is 0.2835."
"In frame 118 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.22, major to minor axis ratio is 1.67, bounding box occupancy is 0.52, spread on XZ axes is 161.53, height-to-standing ratio is 0.55, body height is 1006.0 mm, distance from floor is 540.1 mm, and floor contact ratio is 0.3043."
"In frame 119 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.21, major to minor axis ratio is 1.63, bounding box occupancy is 0.54, spread on XZ axes is 160.20, height-to-standing ratio is 0.54, body height is 991.9 mm, distance from floor is 524.6 mm, and floor contact ratio is 0.3254."
"In frame 120 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.21, major to minor axis ratio is 1.60, bounding box occupancy is 0.55, spread on XZ axes is 158.25, height-to-standing ratio is 0.52, body height is 965.1 mm, distance from floor is 510.5 mm, and floor contact ratio is 0.3438."
"In frame 121 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.19, major to minor axis ratio is 1.57, bounding box occupancy is 0.56, spread on XZ axes is 158.83, height-to-standing ratio is 0.52, body height is 954.7 mm, distance from floor is 501.4 mm, and floor contact ratio is 0.3537."
"In frame 122 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.20, major to minor axis ratio is 1.55, bounding box occupancy is 0.57, spread on XZ axes is 157.46, height-to-standing ratio is 0.51, body height is 943.2 mm, distance from floor is 492.3 mm, and floor contact ratio is 0.3656."
"In frame 123 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.14, major to minor axis ratio is 1.53, bounding box occupancy is 0.57, spread on XZ axes is 158.61, height-to-standing ratio is 0.50, body height is 916.5 mm, distance from floor is 483.2 mm, and floor contact ratio is 0.3827."
"In frame 124 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.15, major to minor axis ratio is 1.50, bounding box occupancy is 0.57, spread on XZ axes is 157.29, height-to-standing ratio is 0.49, body height is 905.5 mm, distance from floor is 472.9 mm, and floor contact ratio is 0.3968."
"In frame 125 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.12, major to minor axis ratio is 1.43, bounding box occupancy is 0.57, spread on XZ axes is 158.39, height-to-standing ratio is 0.48, body height is 886.4 mm, distance from floor is 468.5 mm, and floor contact ratio is 0.4027."
"In frame 126 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.14, major to minor axis ratio is 1.44, bounding box occupancy is 0.59, spread on XZ axes is 158.20, height-to-standing ratio is 0.48, body height is 879.7 mm, distance from floor is 459.7 mm, and floor contact ratio is 0.4187."
"In frame 127 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.13, major to minor axis ratio is 1.41, bounding box occupancy is 0.59, spread on XZ axes is 155.30, height-to-standing ratio is 0.47, body height is 857.8 mm, distance from floor is 450.2 mm, and floor contact ratio is 0.4343."
"In frame 128 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.15, major to minor axis ratio is 1.37, bounding box occupancy is 0.59, spread on XZ axes is 154.49, height-to-standing ratio is 0.46, body height is 845.3 mm, distance from floor is 452.3 mm, and floor contact ratio is 0.4348."
"In frame 129 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.11, major to minor axis ratio is 1.35, bounding box occupancy is 0.58, spread on XZ axes is 155.79, height-to-standing ratio is 0.45, body height is 836.5 mm, distance from floor is 448.0 mm, and floor contact ratio is 0.4391."
"In frame 130 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.10, major to minor axis ratio is 1.34, bounding box occupancy is 0.59, spread on XZ axes is 153.18, height-to-standing ratio is 0.45, body height is 827.3 mm, distance from floor is 449.4 mm, and floor contact ratio is 0.4346."
"In frame 131 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.09, major to minor axis ratio is 1.32, bounding box occupancy is 0.58, spread on XZ axes is 155.80, height-to-standing ratio is 0.45, body height is 828.2 mm, distance from floor is 446.3 mm, and floor contact ratio is 0.4371."
"In frame 132 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.09, major to minor axis ratio is 1.32, bounding box occupancy is 0.59, spread on XZ axes is 153.89, height-to-standing ratio is 0.45, body height is 822.1 mm, distance from floor is 444.4 mm, and floor contact ratio is 0.4403."
"In frame 133 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.12, major to minor axis ratio is 1.33, bounding box occupancy is 0.59, spread on XZ axes is 151.06, height-to-standing ratio is 0.45, body height is 824.6 mm, distance from floor is 442.0 mm, and floor contact ratio is 0.4449."
"In frame 134 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.11, major to minor axis ratio is 1.32, bounding box occupancy is 0.58, spread on XZ axes is 151.64, height-to-standing ratio is 0.45, body height is 824.7 mm, distance from floor is 441.7 mm, and floor contact ratio is 0.4440."
"In frame 135 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.08, major to minor axis ratio is 1.32, bounding box occupancy is 0.57, spread on XZ axes is 153.11, height-to-standing ratio is 0.45, body height is 826.1 mm, distance from floor is 442.9 mm, and floor contact ratio is 0.4388."
"In frame 136 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.12, major to minor axis ratio is 1.32, bounding box occupancy is 0.59, spread on XZ axes is 152.43, height-to-standing ratio is 0.45, body height is 824.3 mm, distance from floor is 445.3 mm, and floor contact ratio is 0.4348."
"In frame 137 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.12, major to minor axis ratio is 1.33, bounding box occupancy is 0.59, spread on XZ axes is 152.83, height-to-standing ratio is 0.45, body height is 828.9 mm, distance from floor is 444.3 mm, and floor contact ratio is 0.4377."
"In frame 138 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.14, major to minor axis ratio is 1.32, bounding box occupancy is 0.59, spread on XZ axes is 152.41, height-to-standing ratio is 0.45, body height is 834.4 mm, distance from floor is 446.8 mm, and floor contact ratio is 0.4324."
"In frame 139 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.13, major to minor axis ratio is 1.30, bounding box occupancy is 0.60, spread on XZ axes is 152.88, height-to-standing ratio is 0.45, body height is 828.4 mm, distance from floor is 445.5 mm, and floor contact ratio is 0.4351."
"In frame 140 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.07, major to minor axis ratio is 1.31, bounding box occupancy is 0.57, spread on XZ axes is 154.54, height-to-standing ratio is 0.45, body height is 826.2 mm, distance from floor is 442.3 mm, and floor contact ratio is 0.4430."
"In frame 141 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.12, major to minor axis ratio is 1.31, bounding box occupancy is 0.59, spread on XZ axes is 152.31, height-to-standing ratio is 0.45, body height is 824.4 mm, distance from floor is 439.4 mm, and floor contact ratio is 0.4489."
"In frame 142 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.09, major to minor axis ratio is 1.29, bounding box occupancy is 0.59, spread on XZ axes is 155.80, height-to-standing ratio is 0.45, body height is 821.4 mm, distance from floor is 443.7 mm, and floor contact ratio is 0.4388."
"In frame 143 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.11, major to minor axis ratio is 1.31, bounding box occupancy is 0.59, spread on XZ axes is 152.34, height-to-standing ratio is 0.45, body height is 821.2 mm, distance from floor is 443.2 mm, and floor contact ratio is 0.4446."
"In frame 144 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.10, major to minor axis ratio is 1.31, bounding box occupancy is 0.60, spread on XZ axes is 152.25, height-to-standing ratio is 0.44, body height is 816.9 mm, distance from floor is 438.7 mm, and floor contact ratio is 0.4503."
"In frame 145 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.08, major to minor axis ratio is 1.31, bounding box occupancy is 0.58, spread on XZ axes is 152.62, height-to-standing ratio is 0.44, body height is 818.4 mm, distance from floor is 437.8 mm, and floor contact ratio is 0.4550."
"In frame 146 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.12, major to minor axis ratio is 1.31, bounding box occupancy is 0.60, spread on XZ axes is 153.08, height-to-standing ratio is 0.45, body height is 820.7 mm, distance from floor is 437.0 mm, and floor contact ratio is 0.4565."
